car_model,price,year_model,kms,color,fueltype
"Renault Logan Expression Mec 1,6",$34.800.000,2016,70.184,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$48.500.000,2022,50.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$56.990.000,2023,19.500,Gris,Gasolina
Renault Logan Zen 2025 - Llévalo Con Excelente Precio!!,$68.990.000,2023,0,Gris,Gasolina
Renault Logan intens,$65.900.000,2023,23.210,Blanco,Gasolina
Renault Logan 1.6 Authentique,$39.000.000,2018,46.579,Dorado,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2023,24.514,Gris,Gasolina
Renault Logan Life+ Mt 1.6 16v A/a Gpy596,$47.990.000,2020,61.054,Rojo,Gasolina
Renault New Logan Exclusive 1.6 Aut 2019 Eny691,$47.200.000,2019,79.052,Gris,Gasolina
Renault Logan 1.6 Intens,$64.900.000,2023,16.000,Plateado,Gasolina
Renault Logan LIFE,$48.500.000,2023,26.800,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$26.000.000,2013,161.350,Gris,Gasolina
Renault Logan 1.6 Life Plus,$56.900.000,2024,8.400,Blanco,Gasolina
Renault Logan 1.6 Life,$43.900.000,2022,39.000,Gris,Gasolina
Renault Logan 1.6 Life,$41.000.000,2020,73.252,Plateado,Gasolina
Renault Logan Zen Mt 1.600cc Gzx257,$52.990.000,2021,42.828,Rojo,Gasolina
Renault Logan 1.6 Authentique / Life,$36.900.000,2019,51.000,Gris,Gasolina
Renault Logan Intens Cc1600 Automatico 114hp,$58.900.000,2023,19.700,Blanco,Gasolina
Renault Logan LIFE 1.6,$46.900.000,2022,41.261,Dorado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.000.000,2011,91.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$26.800.000,2014,134.000,Gris,Gasolina
Renault Logan Intens,$70.500.000,2024,38.000,Blanco,Gasolina
Renault Logan Dynamique Mt,$27.900.000,2013,87.325,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$25.900.000,2013,94.000,Blanco,Gasolina
Renault Logan Modelo 2022,$55.000.000,2022,72.000,Gris,Gasolina
Renault Logan Life Plus- 2025- Llevalo Con Excelente Precio!,$63.490.000,2023,0,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$35.900.000,2017,97.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$60.900.000,2022,14.000,Plateado,Gasolina
Renault Logan 1.6 PRIVILEGE AUTOMATICO,$32.900.000,2016,99.700,Gris,Gasolina
Renault Logan LIFE 1.6,$46.900.000,2022,22.949,Gris,Gasolina
Renault Logan 1.6 Aa,$44.500.000,2023,28.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$26.900.000,2016,113.200,Color not found,Gasolina
Renault Logan 1.6 Life Plus,$62.390.000,2024,0,Blanco,Gasolina
Renault Logan 1.6 Dynamique,$31.900.000,2016,69.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$40.000.000,2019,77.000,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$24.900.000,2011,167.000,Plateado,Gasolina
